vertical_position_uncertainty,heading,horizontal_speed_uncertainty,classification,horizontal_speed,horizontal_position_uncertainty,id,vertical_velocity,vertical_velocity_uncertainty,heading_uncertainty,timestamp,map_link_id,sensor_id,query_since,lon,lat,alt,map_matched_lon,map_matched_lat,map_matched_alt,group_id
0.1089812815189361,-125.6522216796875,0.322613775730133,VEHICLE,4.720584405505008,0.1541228063688798,195041.0,0.1763942539691925,0.322613775730133,3.915703296661377,2023-07-01T13:00:03.636194+09:00,292.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4289298662694,35.388650153282214,28.03938879966736,139.42892944530757,35.388650615864215,28.03938879966736,1
0.0979287698864936,-126.54885864257812,0.3992095116895114,VEHICLE,4.690399604816806,0.14704984557217,195041.0,0.1492549926042556,0.3229237198829651,4.873091697692871,2023-07-01T13:00:03.738333+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42892664734202,35.388647057430475,28.02405717372894,139.42894880703514,35.3886217528063,28.02405717372894,1
0.0894686952233314,-123.98678588867188,0.4795008605659768,VEHICLE,4.614286614774268,0.1373892634687371,195041.0,0.041778028011322,0.3112389147281647,5.967836380004883,2023-07-01T13:00:03.840399+09:00,292.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4289223411641,35.3886452454196,27.967734360694884,139.42892173551874,35.388645910942394,27.967734360694884,1
0.0938709154725074,-125.11524963378906,0.547406152964014,VEHICLE,4.5252972180417865,0.1514576707588501,195041.0,0.0638080164790153,0.2988029420375824,6.96101188659668,2023-07-01T13:00:03.942524+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42891864189696,35.38864273159322,27.98369219303131,139.42894135593133,35.388617301290715,27.98369219303131,1
0.091698482632637,-133.41844177246094,0.5491812445281647,VEHICLE,4.563547153415823,0.1474223839351479,195041.0,0.0026143461000174,0.2698387205600738,6.8993330001831055,2023-07-01T13:00:04.044578+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42891573799528,35.3886383550578,27.95895209312439,139.42893726990943,35.38861480476713,27.95895209312439,1
0.1112719997763633,-134.2340087890625,0.6518519313331624,VEHICLE,4.566160300593952,0.2063084365442967,195041.0,0.0093073053285479,0.2726217210292816,8.183520317077637,2023-07-01T13:00:04.146700+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4289119014925,35.388635490000325,27.962772274017333,139.42893348222358,35.388612478852046,27.962772274017333,1
0.1000353991985321,-128.5707550048828,0.5212590351969051,VEHICLE,4.284607115206849,0.1656428687343307,195041.0,0.1772084981203079,0.2306831926107406,6.974575996398926,2023-07-01T13:00:04.248808+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4289079588363,35.38863447575735,28.061559104919432,139.42893040396072,35.3886105429232,28.061559104919432,1
0.0929070264101028,-130.8972930908203,0.4931278348366341,VEHICLE,4.329084040377747,0.151851830578671,195041.0,0.1066991165280342,0.2048275172710418,6.522581100463867,2023-07-01T13:00:04.343071+09:00,429.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42890480658068,35.38863138212259,28.034947419166564,139.42890248233203,35.3886344124605,28.034947419166564,1
0.1090154126286506,-131.3635711669922,0.5579269695434058,VEHICLE,4.320717250111733,0.2082541831169679,195041.0,0.1082301139831543,0.209459587931633,7.397801876068115,2023-07-01T13:00:04.440270+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42890102767717,35.388628671031746,28.04730155467987,139.42892303504394,35.388605843315084,28.04730155467987,1
0.0973911434412002,-138.68972778320312,0.4667726113801464,VEHICLE,4.169118460215492,0.1665756544197865,195041.0,0.1157895773649215,0.1821300238370895,6.423879623413086,2023-07-01T13:00:04.547241+09:00,429.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42889956708407,35.388624580295414,28.064551377296446,139.4288950027315,35.38863058798952,28.064551377296446,1
0.1118669509887695,-139.86990356445312,0.5243173598617719,VEHICLE,4.169118809880423,0.2216939940499372,195041.0,0.1157895773649215,0.1888685971498489,7.217004776000977,2023-07-01T13:00:04.646505+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42889657391254,35.38862176816094,28.076045179367064,139.428916554244,35.38860159521798,28.076045179367064,1
0.0971269607543945,-137.07113647460938,0.4447345920369791,VEHICLE,3.989502715380602,0.1679986988999174,195041.0,0.1581581532955169,0.1669920980930328,6.397019863128662,2023-07-01T13:00:04.746341+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4288935811884,35.38861999359086,28.122083330154418,139.42891394918513,35.3885998611979,28.122083330154418,1
0.1092334389686584,-137.0598602294922,0.4907723067251286,VEHICLE,3.981715355189979,0.2163991514200763,195041.0,0.1580889075994491,0.1732731908559799,7.072945594787598,2023-07-01T13:00:04.848406+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4288903461441,35.38861748554712,28.138167285919188,139.42891052624853,35.388597538952034,28.138167285919188,1
0.0947012156248092,-134.53604125976562,0.4384565928858182,VEHICLE,3.999793888468029,0.1654239105588033,195041.0,0.1656566262245178,0.1577136665582656,6.277883052825928,2023-07-01T13:00:04.909748+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4288868085841,35.388615518757724,28.15950253009796,139.42890747841886,35.38859545687774,28.15950253009796,1
0.1080025434494018,-138.8218994140625,0.4762266342060693,VEHICLE,4.060127696569668,0.2192272017562183,195041.0,0.1548952758312225,0.1633631139993667,6.741851806640625,2023-07-01T13:00:05.009420+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4288836382175,35.38861100650199,28.171864771842955,139.4289030704371,35.388592411290404,28.171864771842955,1
0.1178098320960998,-146.28280639648438,0.4716486494353077,VEHICLE,4.117169306694618,0.2509854642823191,195041.0,0.1441993117332458,0.1643727570772171,6.596915721893311,2023-07-01T13:00:05.111533+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.4288816123533,35.38860529938189,28.18318619728088,139.42889845813926,35.38858917912269,28.18318619728088,1
0.1006433814764022,-145.9701385498047,0.3609829223050938,VEHICLE,3.318946770366455,0.1764519153446398,195041.0,0.0764871761202812,0.1464197337627411,6.291024684906006,2023-07-01T13:00:05.216026+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42888110263425,35.38860433077574,28.13418128490448,139.4288975795899,35.38858856346184,28.13418128490448,1
0.0913854017853736,-139.2087860107422,0.3583221865085211,VEHICLE,3.1265323967297687,0.1555023092266502,195041.0,0.0493356250226497,0.1389850527048111,6.608927249908447,2023-07-01T13:00:05.318105+09:00,290.0,vista-p90-1,2023-07-01 13:00:00+09:00,139.42887624928122,35.38860338452445,28.116352462768557,139.42889432992752,35.38858626239164,28.116352462768557,1
